alpha,gamma,human,zombie,dead,human_ratio
0.1,0.0005,4747,0,253,0.9494
0.1,0.001,4761,0,239,0.9522
0.1,0.005,4763,0,237,0.9526
0.1,0.01,4760,0,240,0.952
0.1,0.05,4759,0,241,0.9518
0.1,0.1,4759,0,241,0.9518
0.2,0.0005,4746,0,254,0.9492
0.2,0.001,4745,0,255,0.949
0.2,0.005,4757,0,243,0.9514
0.2,0.01,4757,0,243,0.9514
0.2,0.05,4761,0,239,0.9522
0.2,0.1,4759,0,241,0.9518
0.3,0.0005,4729,0,271,0.9458
0.3,0.001,4739,0,261,0.9478
0.3,0.005,4758,0,242,0.9516
0.3,0.01,4753,0,247,0.9506
0.3,0.05,4760,0,240,0.952
0.3,0.1,4759,0,241,0.9518
0.4,0.0005,4698,2,300,0.9396
0.4,0.001,4713,0,287,0.9426
0.4,0.005,4754,0,246,0.9508
0.4,0.01,4753,0,247,0.9506
0.4,0.05,4760,0,240,0.952
0.4,0.1,4761,0,239,0.9522
0.5,0.0005,4654,4,342,0.9308
0.5,0.001,4698,0,302,0.9396
0.5,0.005,4750,0,250,0.95
0.5,0.01,4748,0,252,0.9496
0.5,0.05,4759,0,241,0.9518
0.5,0.1,4760,0,240,0.952
0.6,0.0005,4603,5,392,0.9206
0.6,0.001,4671,0,329,0.9342
0.6,0.005,4751,0,249,0.9502
0.6,0.01,4746,0,254,0.9492
0.6,0.05,4760,0,240,0.952
0.6,0.1,4761,0,239,0.9522
0.7,0.0005,4454,13,533,0.8908
0.7,0.001,4633,1,366,0.9266
0.7,0.005,4732,0,268,0.9464
0.7,0.01,4748,0,252,0.9496
0.7,0.05,4759,0,241,0.9518
0.7,0.1,4761,0,239,0.9522
0.8,0.0005,4107,79,814,0.8214
0.8,0.001,4560,1,439,0.912
0.8,0.005,4724,0,276,0.9448
0.8,0.01,4734,0,266,0.9468
0.8,0.05,4758,0,242,0.9516
0.8,0.1,4758,0,242,0.9516
